crop,state,district,year,season,area,production,yield
Barley,Jammu and Kashmir ,KISHTWAR, 2009-10,Rabi       ,2013.0,647.0,0.32
Barley,Jammu and Kashmir ,KATHUA, 2007-08,Rabi       ,1615.0,1421.0,0.88
Barley,Jammu and Kashmir ,JAMMU, 2012-13,Rabi       ,77.0,114.0,1.48
Barley,Jammu and Kashmir ,JAMMU, 2011-12,Rabi       ,255.0,378.0,1.48
Barley,Jammu and Kashmir ,JAMMU, 2010-11,Rabi       ,380.0,563.0,1.48
Barley,Jammu and Kashmir ,DODA, 2000-01,Rabi       ,6059.0,1913.0,0.32
Barley,Jammu and Kashmir ,DODA, 2001-02,Rabi       ,6913.0,2219.0,0.32
Barley,Jammu and Kashmir ,DODA, 2002-03,Rabi       ,6886.0,2208.0,0.32
Barley,Jammu and Kashmir ,DODA, 2003-04,Rabi       ,6478.0,2077.0,0.32
Barley,Jammu and Kashmir ,DODA, 2004-05,Rabi       ,6564.0,2106.0,0.32
Barley,Jammu and Kashmir ,DODA, 2006-07,Rabi       ,6608.0,2121.0,0.32
Barley,Jammu and Kashmir ,DODA, 2007-08,Rabi       ,2429.0,780.0,0.32
Barley,Jammu and Kashmir ,DODA, 2008-09,Rabi       ,2551.0,819.0,0.32
Barley,Jammu and Kashmir ,DODA, 2009-10,Rabi       ,3044.0,978.0,0.32
Barley,Jammu and Kashmir ,DODA, 2010-11,Rabi       ,2018.0,648.0,0.32
Barley,Jammu and Kashmir ,DODA, 2011-12,Rabi       ,2221.0,713.0,0.32
Barley,Jammu and Kashmir ,DODA, 2012-13,Rabi       ,2226.0,715.0,0.32
Barley,Jammu and Kashmir ,DODA, 2013-14,Rabi       ,2226.0,715.0,0.32
Barley,Jammu and Kashmir ,DODA, 2015-16,Rabi       ,1395.0,448.0,0.32
Barley,Jammu and Kashmir ,DODA, 2016-17,Rabi       ,1446.0,465.0,0.32
Barley,Jammu and Kashmir ,DODA, 2017-18,Rabi       ,1429.0,459.0,0.32
Barley,Jammu and Kashmir ,JAMMU, 2000-01,Rabi       ,89.0,44.0,0.49
Barley,Jammu and Kashmir ,JAMMU, 2001-02,Rabi       ,126.0,62.0,0.49
Barley,Jammu and Kashmir ,JAMMU, 2002-03,Rabi       ,229.0,114.0,0.5
Barley,Jammu and Kashmir ,JAMMU, 2003-04,Rabi       ,416.0,207.0,0.5
Barley,Jammu and Kashmir ,JAMMU, 2004-05,Rabi       ,293.0,146.0,0.5
Barley,Jammu and Kashmir ,JAMMU, 2006-07,Rabi       ,427.0,213.0,0.5
Barley,Jammu and Kashmir ,JAMMU, 2007-08,Rabi       ,255.0,127.0,0.5
Barley,Jammu and Kashmir ,JAMMU, 2008-09,Rabi       ,293.0,146.0,0.5
Barley,Jammu and Kashmir ,JAMMU, 2009-10,Rabi       ,333.0,166.0,0.5
Barley,Jammu and Kashmir ,KISHTWAR, 2010-11,Rabi       ,2013.0,647.0,0.32
Barley,Uttar Pradesh,SITAPUR, 2010-11,Rabi       ,1189.0,2326.0,1.96
Barley,Jammu and Kashmir ,KISHTWAR, 2011-12,Rabi       ,1670.0,536.0,0.32
Barley,Jammu and Kashmir ,KISHTWAR, 2013-14,Rabi       ,2340.0,752.0,0.32
Barley,Jammu and Kashmir ,RAMBAN, 2011-12,Rabi       ,263.0,84.0,0.32
Barley,Jammu and Kashmir ,RAMBAN, 2012-13,Rabi       ,1897.0,609.0,0.32
Barley,Jammu and Kashmir ,RAMBAN, 2013-14,Rabi       ,1897.0,609.0,0.32
Barley,Jammu and Kashmir ,RAMBAN, 2015-16,Rabi       ,112.0,36.0,0.32
Barley,Jammu and Kashmir ,RAMBAN, 2017-18,Rabi       ,40.0,13.0,0.32
Barley,Jammu and Kashmir ,REASI, 2008-09,Rabi       ,233.0,214.0,0.92
Barley,Jammu and Kashmir ,REASI, 2009-10,Rabi       ,243.0,223.0,0.92
Barley,Jammu and Kashmir ,REASI, 2010-11,Rabi       ,337.0,310.0,0.92
Barley,Jammu and Kashmir ,REASI, 2011-12,Rabi       ,91.0,84.0,0.92
Barley,Jammu and Kashmir ,REASI, 2012-13,Rabi       ,138.0,127.0,0.92
Barley,Jammu and Kashmir ,REASI, 2013-14,Rabi       ,138.0,127.0,0.92
Barley,Jammu and Kashmir ,RAMBAN, 2010-11,Rabi       ,1619.0,520.0,0.32
Barley,Jammu and Kashmir ,REASI, 2015-16,Rabi       ,174.0,159.0,0.92
Barley,Jammu and Kashmir ,REASI, 2017-18,Rabi       ,79.0,72.0,0.92
Barley,Jammu and Kashmir ,SAMBA, 2008-09,Rabi       ,180.0,90.0,0.5
Barley,Jammu and Kashmir ,SAMBA, 2009-10,Rabi       ,172.0,86.0,0.5
Barley,Jammu and Kashmir ,SAMBA, 2010-11,Rabi       ,140.0,70.0,0.5
Barley,Jammu and Kashmir ,SAMBA, 2011-12,Rabi       ,136.0,68.0,0.5
Barley,Jammu and Kashmir ,SAMBA, 2012-13,Rabi       ,131.0,65.0,0.5
Barley,Jammu and Kashmir ,SAMBA, 2013-14,Rabi       ,131.0,65.0,0.5
Barley,Jammu and Kashmir ,SAMBA, 2015-16,Rabi       ,745.0,371.0,0.5
Barley,Jammu and Kashmir ,SAMBA, 2016-17,Rabi       ,512.0,255.0,0.5
Barley,Jammu and Kashmir ,SAMBA, 2017-18,Rabi       ,187.0,93.0,0.5
Barley,Jammu and Kashmir ,UDHAMPUR, 2000-01,Rabi       ,975.0,895.0,0.92
Barley,Jammu and Kashmir ,REASI, 2016-17,Rabi       ,87.0,80.0,0.91
Barley,Jammu and Kashmir ,RAMBAN, 2009-10,Rabi       ,2781.0,893.0,0.32
Barley,Jammu and Kashmir ,RAMBAN, 2008-09,Rabi       ,1910.0,613.0,0.32
Barley,Jammu and Kashmir ,RAJAURI, 2017-18,Rabi       ,4.0,4.0,0.93
Barley,Jammu and Kashmir ,KISHTWAR, 2015-16,Rabi       ,1399.0,449.0,0.32
Barley,Jammu and Kashmir ,KISHTWAR, 2016-17,Rabi       ,1546.0,497.0,0.32
Barley,Jammu and Kashmir ,KISHTWAR, 2017-18,Rabi       ,1528.0,491.0,0.32
Barley,Jammu and Kashmir ,LEH LADAKH, 2000-01,Rabi       ,162.0,143.0,0.88
Barley,Jammu and Kashmir ,LEH LADAKH, 2001-02,Rabi       ,159.0,138.0,0.87
Barley,Jammu and Kashmir ,LEH LADAKH, 2002-03,Rabi       ,159.0,138.0,0.87
Barley,Jammu and Kashmir ,LEH LADAKH, 2003-04,Rabi       ,132.0,115.0,0.87
Barley,Jammu and Kashmir ,LEH LADAKH, 2004-05,Rabi       ,76.0,66.0,0.87
Barley,Jammu and Kashmir ,LEH LADAKH, 2006-07,Rabi       ,144.0,125.0,0.87
Barley,Jammu and Kashmir ,LEH LADAKH, 2007-08,Rabi       ,144.0,125.0,0.87
Barley,Jammu and Kashmir ,LEH LADAKH, 2008-09,Rabi       ,94.0,82.0,0.87
Barley,Jammu and Kashmir ,LEH LADAKH, 2009-10,Rabi       ,40.0,35.0,0.88
Barley,Jammu and Kashmir ,LEH LADAKH, 2010-11,Rabi       ,33.0,30.0,0.91
Barley,Jammu and Kashmir ,LEH LADAKH, 2011-12,Rabi       ,85.0,78.0,0.91
