crop,state,Cost of Cultivation (Rs./Hectare) A1,Cost of Cultivation (Rs./Hectare) A2,Cost of Cultivation (Rs./Hectare) B1,Cost of Cultivation (Rs./Hectare) B2,Cost of Cultivation (Rs./Hectare) C1,Cost of Cultivation (Rs./Hectare) C2,Cost of Cultivation (Rs./Hectare) C2 Revised,Cost of Production (Rs./Qtl) A1,Cost of Production (Rs./Qtl) A2,Cost of Production (Rs./Qtl) B1,Cost of Production (Rs./Qtl) B2,Cost of Production (Rs./Qtl) C1,Cost of Production (Rs./Qtl) C2,Cost of Production (Rs./Qtl) C2 Revised,Cost of Production (Rs./Qtl) C3,Value of Main Product (Rs./Hectare),Value of By- Product (Rs./Hectare),Seed (Kg.) per Hectare,Fertilizer (Kg. Nutrients) per Hectare,Manure (Qtl.) per Hectare,Human Labour* (Man Hrs.) per Hectare,Animal Labour (Pair Hrs.) per Hectare,Seed (Kg.) Rate (Rs.) ,Fertilizer (Kg. Nutrients) Rate(Rs.) ,Manure (Qtl.) Rate (Rs.) ,Human Labour (Man Hrs.) Rate (Rs.) ,Animal Labour (Pair Hrs.) Rate (Rs.) ,Implicit (Qtl.) Rate (Rs.) ,Number of Holdings in Sample,Number of Tehsils in Sample,Derived Yield (Qtl./Hectare),Operational Cost,Human Labour,Animal Labour,Machine Labour,Seed,Fertilizer & Manure,Insecticides,Irrigation Charges,Crop Insurance,Miscellaneous,Interest on Working Capital,Fixed Costs,Rental Value of Owned Land,Rent Paid For Leased-in-Land,"Land Revenue, Taxes, Cesses",Depreciation on Implements & Farm Building,Interest on Fixed Capital,Total Cost [11+12]
Maize,Maharashtra,45740.84,45740.84,53625.61,67222.44,61154.23,74751.06,74751.06,588.17,588.17,688.46,863.64,785.74,960.92,960.92,1057.01,71564.61,10000.08,16.78,287.23,0.19,473.87,39.19,232.8,30.01,176.97,33.19,183.92,1056.88,60,18,68.06,52578.32,15728.68,7207.63,11603.24,3906.16,8652.44,48.03,1451.07,0,88.34,1365.13,22172.74,13596.84,0,22.74,668.38,7884.78,74751.06
Maize,Odisha,22547.89,24168.46,23301.79,36641.27,35339.87,48679.35,48679.35,581.34,619.84,601.14,939.78,915.02,1253.66,1253.66,1379.03,45490.2,1385.43,19.87,134.99,6.77,712.03,62.36,190.16,27.53,107.05,26.92,26.71,1170.69,88,15,37.71,34306.04,19166.89,1665.54,4126.77,3777.55,4441.53,140,272.1,0,40.89,674.77,14373.31,11718.9,1620.57,13.75,266.19,753.9,48679.35
Maize,Punjab,32686.29,37539.49,38274.4,57446.18,51547.4,70719.19,70719.19,734.42,842.33,859.33,1289.53,1154.55,1584.75,1584.75,1743.225,49650.19,5485,22.672,168.068,200.894,416.32,5.69,244.077,25.588,16.524,48.22,96.39,1187.25,17,5,40.09,45098.58,20076.56,548.23,7945.63,5533.75,7620.12,2093.48,261.72,0,54.69,964.4,25620.61,14318.59,4853.2,0,860.72,5588.1,70719.19
Maize,Rajasthan,16185.73,16185.73,19548.8,26197.05,38956.7,45604.96,46786.3591,563.48,563.48,676.28,903.44,1346.06,1573.22,1613.979035,1775.376939,30745.18,9136.35,28.896,87.598,1.271,568.79,15.21,64.32,23.63,69.607,39.21,140.59,1345.88,92,17,22.31,34922.51,22303.94,2138.45,5336.42,1858.54,2158.42,81.48,561.49,0,13.64,470.13,10682.45,6648.25,0,10.93,660.2,3363.07,45604.96
Maize,Tamil Nadu,47938.83,47938.83,69855.83,82799.07,83106.81,96050.07,96050.07,765.73,765.73,1114.12,1318.49,1320.26,1524.63,1524.63,1677.09,83154.76,5063.48,20.17,198.65,39.06,622.21,0.02,247.67,29.29,140.89,47.74,158.2,1328.63,67,20,59.52,60674.9,29704.8,2.89,8304.72,4996.41,11320.44,799.34,4010.36,0,87.8,1437.07,35375.17,12943.24,0,9.95,504.98,21917,96050.07
Maize,Uttar Pradesh,23521.07,23751.8,26598.14,37410.31,36613.74,47425.91,47425.91,769.18,779.94,882.97,1220.91,1206.94,1544.87,1544.87,1699.36,33386.84,6286.23,19.95,102.83,6.12,552.06,1.8,181.6,21.02,71.29,30.36,122.42,1168.48,103,20,26.02,32880.43,16762.1,220.43,6315.69,3623.68,2598.05,95.88,2562.83,0,8.91,692.86,14545.48,10581.44,230.72,3.24,653.01,3077.07,47425.91
Moong,Andhra Pradesh,14621.13,14621.13,15677.36,21170.28,20537.59,26030.51,26030.51,3444.3,3444.3,3902.82,4934.04,6084.78,7116.01,7116.01,7827.611,17997.17,312.56,22.845,16.405,4.973,206.12,3.1,80.088,43.027,100.002,47.66,116.39,3384.03,33,7,3.59,19368.00906,9824.59,360.53,2791.92,1829.59,1203.17,2690.42,2.61,0,3.87,439.62,6662.5,5492.92,0,0,113.36,1056.22,26030.50906
Moong,Bihar,10963.18,10963.18,12038.63,20775.24,15972.64,24709.25,25681.7176,2690.01,2690.01,2953.88,5097.56,3919.16,6062.84,6301.779647,6931.957612,32401.67,202.51,15.205,0,0,210.48,0,99.999,0,0,25,0,7997.5,4,1,4.05,14649.83,5261.95,0,7542.68,1520.48,0,0,0,0,0,324.72,10059.42,8736.61,0,46.18,201.18,1075.45,24709.25
Moong,Gujarat,16149.98,16421.58,17951.67,21811.09,25577.31,29436.72,29480.36,4530.38,4573.7,5077.79,5932.15,6987.25,7841.61,7853.33,8638.66,19415.1,2107.5,19.32,59.22,4.61,441.38,1.42,109.58,26.92,164.39,28.49,135.78,4612.04,27,19,3.39,23504.92,12575.41,192.66,4316.85,2116.66,2351.86,740.73,729.58,0,0,481.17,5931.8,3587.82,271.6,1.99,268.7,1801.69,29436.72
Moong,Karnataka,17873.93,17873.93,18687.08,25866.02,21975.6,29154.53,31535.82,2765.12,2765.12,2866.96,3939.46,3343.77,4416.27,4775.09,5252.59,32969.45,276.56,12.97,55.54,0,264.18,27.93,12.97,55.54,0,264.19,27.93,4656.85,22,6,6.55,21048.75,7657.55,3426.73,5389.65,951.67,1995.1,503.69,127.89,0,72.07,538.18,8105.78,7178.94,0,9.97,103.72,813.15,29154.53
Moong,Madhya Pradesh,14373.91,14373.91,15208.32,18819.31,18183.76,21794.75,21794.75,3733.91,3733.91,3950.66,4888.69,4723.59,5661.62,5661.62,6227.782,14722.92,734.38,20.625,32,0,216.96,10,139.636,34.336,0,28.79,37.5,4018.61,4,1,3.67,17136.42,6246.27,375,5092.7,2880,1098.75,1008.33,0,0,6.26,429.11,4658.33,3610.99,0,1.56,211.37,834.41,21794.75
Moong,Maharashtra,27000.71,27000.71,31750.87,36454.02,37218.49,41921.64,41921.64,4217.66,4217.66,4955.33,5664.67,5785.75,6495.09,6495.09,7144.6,27787.13,426.11,16.68,66.3,4.74,473.04,33.65,104.8,33.65,216.97,30.18,110.27,4336.5,71,26,6.36,31847.64,14274.1,3710.87,6437.15,1747.96,3258.73,963.98,115.79,5.95,73.32,799.39,10074,4703.15,0,26.22,594.47,4750.16,41921.64
Moong,Odisha,7022.52,7023.03,7717.65,12122.9,15894.18,20299.44,20299.44,1845.68,1845.8,2029.18,3171.2,4183.39,5325.42,5325.42,5857.96,16688.47,932.41,28.38,3.73,0,277.6,38.11,53.41,43.8,0,34.29,44.68,4200.32,247,34,3.61,14797.17,9519.39,1702.64,1601.73,1515.8,163.13,67.23,14.69,0,11.94,200.62,5502.27,4404.74,0.53,10.3,391.57,695.13,20299.44
Moong,Rajasthan,10251.22,10251.22,11244.27,14784.32,18803.04,22343.09,22482.3452,2205.76,2205.76,2437.06,3166.51,4046.03,4775.48,4802.91216,5283.203376,18636.16,2599.91,14.07,30.191,0,226.32,0,116.818,33.936,0,46.75,127.76,4319.97,126,27,4.11,17564.36,10579.26,0.6,3571.47,1643.64,1024.58,177.89,241.38,0,22.35,303.19,4778.73,3540.05,0,4,241.62,993.06,22343.09
Moong,Tamil Nadu,16405.52,16405.52,20278.33,27789.54,23537.61,31048.82,31048.82,3466.3,3466.3,4183.12,5686.91,4915.23,6419.02,6419.02,7060.92,22217.86,118.82,23.54,20.24,2.12,248.56,0,89.62,32.09,144.05,46.19,0,4572.18,31,7,4.81,19096,11480.56,0,2476.35,2109.75,955,1130.28,284.82,0,179.36,479.88,11952.82,7511.21,0,5.73,563.06,3872.82,31048.82
Moong,Uttar Pradesh,13503.4,13503.4,14470.09,20903.01,22282.98,28715.89,28715.89,2549.79,2549.79,2740.65,3887.68,4305.02,5452.05,5452.05,5997.26,24027.09,1517.32,18.55,3.7,0,349.73,15.65,66.99,17.39,0,32.36,110.5,4762.56,14,4,4.84,20954.05,11317.58,1728.96,5681.43,1242.64,64.31,502.08,0,0,18.84,398.21,7761.84,6432.92,0,8.63,353.6,966.69,28715.89
Moong,West Bengal,17463.66,17463.66,17919.47,25346.17,25491.03,32917.72,34384.31,2554.36,2554.36,2621.03,3707.31,3728.5,4814.79,5026.95,5529.64,29706.79,0,19.22,26.48,0,420.3,0,77.54,39.75,0,41.37,0,4079.43,10,2,6.84,24751.86,17388.07,0,3391.73,1490.44,1052.54,908.48,0,0,0,520.6,8165.86,7426.7,0,0,283.35,455.81,32917.72
Nigerseed,Odisha,8433.7,8433.7,9475.92,13386.82,18751.8,22662.69,22662.69,3008.99,3008.99,3381.73,4778.11,6744.59,8140.97,8140.97,8955.07,15643.6,0,11.39,0,2.05,339.59,78.06,59.35,0,99.99,33.55,44.51,5576.98,32,4,2.78,17276.06,11394.18,3474.72,1284.21,675.67,204.86,0,0,0,0,242.42,5386.63,3910.9,0,18.5,415,1042.23,22662.69
Paddy,Andhra Pradesh,46952.83,51048.31,49752.98,81447.46,59550.33,91244.81,91590.82,779.2,846.31,824.27,1354.83,976.71,1507.27,1513.29,1664.62,87489.61,4685.04,76.31,298.95,10.82,438.96,5.54,28.71,25,69.43,52.83,162.22,1566.56,425,54,57.38,56330.86,23188.58,897.93,10190.47,2190.58,8222.96,3645.33,1158.34,0,150.72,1410.09,34913.95,27599,4095.49,0,419.31,2800.15,91244.81
Paddy,Assam,26639.16,26929.39,28204.79,39029.63,41194.34,52019.18,52398.66,724.14,733.84,767.5,1063.66,1132.52,1428.68,1428.83,1571.71,41615.97,3699.91,56.55,24.01,3.88,531.14,84.22,21.19,30.79,162.98,36.21,130.29,1258.75,389,41,33.44,38984.03,19230.21,10972.84,4569.05,1198.25,1371.86,10.71,119.41,0,15.22,787.7,13035.15,10534.61,290.23,125.11,519.57,1565.63,52019.18
Paddy,Bihar,25457.62,25457.62,27180.25,39561.99,35325.41,47707.15,47707.15,661.2,661.2,708.27,1041.75,936.8,1270.28,1270.28,1397.308,39444.09,8294.4,46.854,106.612,1.882,587.61,0.02,40.479,28.559,100,32.35,117.65,1273.05,368,40,31.06,32988.32,19009.91,2.68,4295.02,1896.63,3232.88,37.69,3760.22,0,0.48,752.81,14718.83,12381.74,0,89.95,524.51,1722.63,47707.15
Paddy,Chhatisgarh,28394.53,28394.53,30651.95,42438.23,39480.47,51266.76,54340.3225,702.77,702.77,760.48,1053.74,979.49,1272.75,1348.927043,1483.819748,51790.14,8306.56,70.339,135.167,8.112,634.89,23.6,25.028,23.627,173.503,24.41,126.82,1472.8,148,15,34.72,36498.37201,15496.97,2993.31,7913.88,1760.47,4601.11,1074,1587.93,216.65201,15.58,838.47,14768.39,11786.29,0,2.81,721.86,2257.43,51266.76
Paddy,Gujarat,36236.07,36936.57,38780.03,51053.38,44891.33,57164.68,57164.68,707.7,722.15,759.14,996.29,878.8,1115.95,1115.95,1227.55,58817.05,16025.45,0,186.25,27.32,612.81,5.36,0,26.24,77.78,24.11,86.99,1567.96,149,18,40.17,42011.77,14774.39,466.29,5491.77,4541.02,7012.55,744.45,2270.2,0,0,1087.88,15152.91,11572.85,700.5,7.35,328.26,2543.95,57164.68
Paddy,Haryana,36261.68,36261.68,41900.56,74077.62,51698.92,83875.97,83875.97,628.66,628.66,726.66,1277.9,896.58,1447.82,1447.82,1592.6,122202.38,1421.63,0,226.74,0.6,439.92,0,0,21.13,32.75,46.73,0,2021.93,165,20,57.28,44997.4,20559.28,0,7210.67,1947.18,4810.74,3042.18,5716.03,0,37,1066.64,38878.1,32177.06,0,0,1062.16,5638.88,83875.5
Paddy,Himachal Pradesh,16588.61,16732.83,19330.87,32017.76,36172.63,48859.51,48859.51,438.77,441.57,514.63,875.03,1016.34,1376.74,1376.74,1514.41,46018.87,11980.85,27.5,50.92,21.35,343.55,18.78,73.7,19.49,99.36,56.04,51.92,1534.96,130,18,28.1,33051.14,19252.39,975.18,5823.55,2026.52,3113.2,966.66,397.62,0,4.84,491.18,15808.37,12542.67,144.22,8.43,370.79,2742.26,48859.51
Paddy,Jharkhand,28257.29,28257.29,31384.58,50527.11,43607.2,62749.73,62749.73,597.25,597.25,660.86,1059.64,916.07,1314.85,1314.85,1446.335,50429.61,12070.29,31.826,99.96,7.688,641.72,31.93,115.67,30.318,65.701,34.4,188.12,1334.76,150,15,38.67,39433.16,22076.02,6007.65,2745.45,3681.27,3535.66,0,560.9,0,1.66,824.55,23316.57,19142.53,0,97.49,949.25,3127.3,62749.73
Paddy,Karnataka,52945.92,52945.92,54623.67,70338.61,65048.44,80763.39,82739.12,1434.37,1434.37,1489.03,1863.78,1754.37,2129.12,2180.92,2399.02,68967.25,3773.47,57.42,383.14,0.3,797.86,44.06,53.85,26.72,214.55,35.52,147.5,1577.56,47,9,35.26,62812.91,28342.95,6498.44,9565.12,3091.96,10301.31,2571.34,657.75,0,196.53,1587.51,17950.48,15714.94,0,15.41,542.38,1677.75,80763.39
Paddy,Kerala,64844.87,64844.87,65601.97,85374.31,77305.25,97077.58,97077.58,1615.55,1615.55,1636.01,2122.51,1912.39,2398.89,2398.89,2638.779,71079.61,19846.04,93.23,116.877,12.535,537.37,0.03,28.031,29.258,297.484,91.79,302.05,2293.47,293,30,31.2,75969.94446,49325.79,8.79,12427.88,2613.33,7148.58,1085.07,16.71,21.76238,292.17,1947.46,21107.64,19772.33,0,183.85,394.35,757.11,97077.58446
Paddy,Madhya Pradesh,26168.73,26168.73,29213.99,38430.75,37078.1,46294.85,46570.4867,892.56,892.56,997.34,1311.67,1259.28,1573.61,1583.210955,1741.53205,40893.06,4290.14,70.098,128.267,11.893,479.89,30.05,34.007,24.068,156.227,28.46,87.23,1527.37,93,12,26.63,33397.9602,13655.57,2620.99,6426.26,2383.8,4945.14,1365.41,1066.01,158.6802,2.36,773.74,12896.89,9216.75,0,2.9,631.98,3045.26,46294.8502
Paddy,Maharashtra,61903.02,61903.02,69669.7,78585.21,78970.77,87886.29,88276.48,1934.89,1934.89,2196.05,2460.9,2467.72,2732.58,2744.54,3019,44049.21,9433.14,45.25,199.27,13.44,1122.63,75.61,55.56,29.32,207.11,28.58,93.45,1790.06,65,8,26.15,69689.88,32087.5,7065.45,10306.1,2513.77,8625.01,3076.61,359.06,0,3825.31,1829.95,18196.41,8915.51,0,31.56,1482.66,7766.68,87886.29
Paddy,Odisha,28795.64,28964.9,30080.87,43769.76,46414.75,60103.66,60103.66,665.9,670.16,695.53,1012.29,1077.26,1394.01,1394.01,1533.41,50285.95,3792.6,64.79,111.2,14.58,845.15,84.93,19.93,28.97,122.09,32.18,40.89,1253.49,450,45,40.08,44647.25,27198.31,3472.35,5982.73,1290.96,5001.18,572.8,192.35,20.89,57.71,857.97,15456.41,13519.64,169.26,19.58,462.7,1285.23,60103.66
Paddy,Punjab,31398.51,35850.89,34098.71,74764.12,40712.42,81377.82,81377.82,417.63,476.8,453.57,994.62,541.5,1082.54,1082.54,1190.794,123161.27,462.42,0,178.242,16.276,343.01,0.21,0,17.455,19.754,48.54,94.38,1645.9,259,28,74.9,37467.22,16649.46,19.61,7149.24,1625.67,3432.73,4146.26,3458.82,0,50.49,934.94,43910.6,36213.02,4452.38,0,545,2700.2,81377.82
Paddy,Tamil Nadu,50752.23,50819.39,56988.9,74625.98,66223.95,83861.03,83861.03,1009.8,1011.03,1135.57,1486.39,1320.59,1671.41,1671.41,1838.55,75165.51,6325.31,75.71,232.61,13.35,510.14,0.51,102.49,26.41,125.69,47.55,347.34,1639.24,369,47,46.21,59386.46,24254.93,176.6,11250.12,7759.21,7821.15,1374.54,4010.56,35.83,838.5,1519.72,24474.57,17569.92,67.16,8.87,591.95,6236.67,83861.03
Paddy,Uttar Pradesh,34648.37,34654.23,38615.62,51953.2,48044.06,61381.64,61514.66,884.57,881.76,981.48,1322.82,1221.47,1562.8,1175.92,1293.51,51363.58,3113.15,0,172.58,0.32,688.76,0.47,0,23.98,197.62,30.99,117.11,1445.55,520,62,37.06,43329.05,21342.52,55.38,5470.43,4371.56,4201.59,236.39,6614.6,0,3.72,1027.28,18052.58,13331.72,5.86,3.68,744.07,3967.25,61381.63
Paddy,Uttarakhand,24410.18,24410.18,25810.6,42899.31,39527.79,56616.5,56616.5,682.51,682.51,718.39,1216.87,1196.16,1694.63,1694.63,1863.99,52006.16,3881.24,0,116.53,0,430.29,41.6,0,21.02,0,38.98,100,1371.6,19,3,30.72,37897.45,20669.01,4159.24,3530.84,3693.96,2449.92,1054.86,1606.39,0,0,732.72,18719.05,17088.71,0,1.08,228.84,1400.42,56616.5
Paddy,West Bengal,39693.89,40241.81,40838.46,57211.39,61684.23,78057.17,78057.17,831.96,844.19,856.67,1198.7,1290.1,1632.12,1632.12,1795.33,59338.84,6869.16,54.34,172.62,11.67,945.75,16.67,41.28,29,93.79,39.36,79.3,1395.91,568,52,42.86,59867.23,37224.54,1321.65,4412.6,2243.39,6100.69,1169.64,1018.86,0,138.8,1182.45,18189.94,15825.02,547.91,12.2,660.25,1144.56,78057.17
Ragi,Karnataka,39413.54,39413.54,40519.78,51376.45,49342.06,60198.73,61775.72,1770.26,1770.26,1825.03,2317.04,2217.78,2709.79,2781.32,3059.45,37260,10210.12,23.3,106.58,11.1,596.46,44.75,34.42,29.78,200,43.34,132.53,2180.14,52,15,17.48,48060.48,25850.57,5929.94,8150.78,801.9,5393.81,0,619.55,0,124.91,1189.02,12138.25,10856.67,0,17.03,158.31,1106.24,60198.73
Ragi,Maharashtra,42972.47,42972.47,46670.43,54240.3,62946.28,70516.15,70516.15,2360.5,2360.5,2599.78,2997.9,3584.07,3982.18,3982.18,4380.4,43044.25,2365.9,6.39,102.72,47.88,1193.42,109.49,34.07,31.08,157.52,24.77,87.77,2016.36,14,3,16.69,58614.27,29566.25,9609.41,2735.91,217.65,10733.87,0,97.93,0,4370.29,1282.96,11901.88,7569.87,0,10.6,623.45,3697.96,70516.15
Ragi,Odisha,11184.95,11184.95,13234.25,16468.28,22281.5,25515.53,26058.03,1646.94,1646.94,1930.41,2400,3333.17,3802.76,3883.46,4271.81,12936.11,0,11.72,23.04,15.43,443.28,69.65,19.94,34.74,101.8,27.75,31.99,1862.79,53,7,6.71,19506.41,12299.32,2228.03,2046.71,233.72,2370.99,0,0,0,10.7,316.94,6009.12,3234.04,0,20.99,704.79,2049.3,25515.53
Ragi,Tamil Nadu,38043.82,38043.82,40339.67,51122.02,47531.75,58314.09,58314.09,3084.34,3084.34,3275.49,4170.34,3863.32,4758.17,4758.17,5233.99,30875.14,4657.7,23.92,157.64,33.01,602.86,0,53.73,26.31,114.81,41.17,0,2760.37,15,7,10.65,44282.59,24822.34,0,7647.97,1284.95,7937.03,596.78,830.39,0,39.2,1123.93,14031.5,10782.35,0,12.78,940.52,2295.85,58314.09
Ragi,Uttarakhand,13140.56,13140.56,15011.77,21676.33,40985.33,47650.09,47650.09,1127.46,1127.46,1288.01,1859.83,3516.56,4088.38,4088.38,4497.22,31380.52,3318.39,25.81,1.44,0,541.22,93.59,30,15.22,0,50,100.95,2941.97,17,2,10.54,37657.8,27059.51,9448.15,0,774.14,21.95,0,0,0,0,354.05,9992.29,6664.56,0,0,1456.51,1871.22,47650.09
Sesamum,Gujarat,29886.2,29927.66,33940.03,43998.19,42142.65,52200.81,52200.81,3732.77,3738.38,4192.85,5438.91,5234.02,6480.07,6480.07,7128.08,59233.55,854.59,4.89,125.74,34.01,516.12,5.15,221.93,27.52,131.91,34.42,127.21,7501.87,77,27,7.95,37742.12,17767.08,654.69,4551.19,1085.26,7945.29,996.56,3771.52,0,75.41,895.12,14458.69,10016.69,41.47,4.47,342.22,4053.84,52200.81
Sesamum,Karnataka,16200.64,16200.64,16257.13,17512.84,18069.53,19325.24,23325.31,13801.49,13801.49,13849.61,14919.37,15393.62,16463.37,19822.08,21804.29,4951.43,71.43,5.14,71.29,0,282.02,20,100,34.83,0,23.82,141.91,4253.15,2,1,1.16,17964.25,6716.69,2838.11,4842.86,514.29,2482.86,0,0,0,80,489.44,1360.99,1255.71,0,15.62,33.18,56.48,19325.24
Sesamum,Madhya Pradesh,16453.5,16453.5,18914.27,26270.78,27517.31,34873.83,34999.8113,2742.91,2742.91,3152.29,4355.02,4617.95,5820.69,5837.861621,6421.647783,32349.35,1827.15,5.988,50.525,7.609,349.41,17.91,249.057,26.21,199.994,38.57,140.2,5888.2,19,5,5.67,24419.68454,13476.55,2510.39,3323.21,1491.34,2846.03,223.82,0,67.09454,1.97,479.28,10454.15,7356.52,0,6.46,630.4,2460.77,34873.83454
Sesamum,Odisha,4079.43,4079.43,4663.85,7597.74,10402.82,13336.71,13336.71,1481.85,1481.85,1668.34,2687.64,3699.48,4718.79,4718.79,5190.67,11735.57,0,10.01,0,0,253.63,10.99,52.96,0,0,27.19,24.31,4017.6,17,6,2.83,9495.5,6896.06,267.09,1688.31,530.21,0,0,587.55,0,0,113.83,3841.21,2933.89,0,9.29,313.61,584.42,13336.71
Sesamum,Rajasthan,7574.61,7574.61,11061.07,13897.29,20038.4,22874.62,23722.338,2958.74,2958.74,4602.22,5702.08,8345.72,9445.59,9790.938879,10770.03277,16509.11,504.78,2.907,17.509,0,292.1,0,117.157,23.957,0,42.88,0,6167.03,30,10,2.35,16274.27,12524.62,0,2757.79,340.58,419.46,0,0,0,10.72,221.1,6600.35,2836.22,0,5.08,272.58,3486.47,22874.62
Sesamum,Tamil Nadu,28704.64,28704.64,35700.04,46060.37,44641.84,55002.17,55002.17,5217.74,5217.74,6460.47,8401,8053.03,9993.55,9993.55,10992.91,42974.09,355.4,5.66,56.44,13.11,477.19,0,151.3,29.06,196.8,49.02,0,7857.76,40,14,5.45,37139.6,23391.02,0,4604.17,856.91,4220.69,1330.29,1699.72,0,66.98,854.46,17862.57,10360.33,0,6.56,500.28,6995.4,55002.17
Sesamum,Uttar Pradesh,5665.88,5665.88,6608.71,13552.54,12840.82,19784.65,20897.87,2245.81,2245.81,2564.1,4813.12,4448.5,6697.51,7081.71,7789.88,20249.03,867.93,3.29,2.56,0,286.76,0,119.05,15.22,0,27.69,0,6432.83,31,11,2.83,11644.03,7939.79,0,3066.72,391.19,38.89,42.71,0,0,0.75,163.98,8140.62,6943.83,0,3.72,250.24,942.83,19784.65
Sesamum,West Bengal,28829.62,29046.68,29588.95,40566.74,43773.09,54750.89,54750.89,2579.97,2598.44,2651.64,3646.38,3914.38,4909.12,4909.12,5400.03,42278.94,1303.66,8,57.79,0,685.31,15.22,73.97,32.99,0,38.65,68.75,4032.92,51,10,10.83,42320.73,26485.32,1046.38,4145.5,591.42,1906.37,651.6,2668.6,0,4.85,852.61,12430.16,10760.74,217.05,6.93,686.12,759.32,54750.89
Soyabean,Andhra Pradesh,32267.91,32267.91,32757.74,47800.67,35378.15,50421.07,50421.07,1944.97,1944.97,1974.5,2881.22,2132.44,3039.17,3039.17,3343.087,50138.98,4.12,104.774,143.421,0.039,233.71,10.02,40.84,33.836,100.513,53.23,196.71,2885.05,25,6,16.59,34709.61,12439.68,1971.06,7530.35,4278.98,4856.76,2466.48,0,0,130.1,972.38,15711.46,15042.93,0,0,178.7,489.83,50421.07
Soyabean,Chhattisgarh,15141.22,15141.22,17534.53,21398.36,20218.09,24081.92,24886.585,2406.98,2406.98,2787.44,3401.67,3214.04,3828.27,3955.841143,4351.425257,14770.3,925.89,79.126,47.669,2.082,189.9,0.97,40.628,32.528,150.014,25.01,41.98,2498.07,14,3,5.92,17257.55,4749.91,40.72,5379.07,3214.76,1862.89,1029.42,258.63,280.52567,0,441.62,6824.37,3863.83,0,2.25,564.97,2393.32,24081.92
Soyabean,Karnataka,21869.83,21869.83,23094.11,28929.09,24548.12,30383.11,31901.82,2229.14,2229.14,2370.43,2977.58,2524.05,3131.21,3288.41,3617.26,23224.6,1121.71,78.9,69.82,3.22,177.1,19.33,35.72,38.08,118.45,29.42,132.14,2548.48,26,5,9.27,23212.2,5211.09,2554.9,7548.44,2818.11,3040,1205.31,0.18,0,174.84,659.33,7170.91,5834.99,0,6.51,105.13,1224.28,30383.11
Soyabean,Madhya Pradesh,21022.7,21022.7,23788.11,30255.56,28285.96,34753.4,34837.658,2011.39,2011.39,2266.89,2864.49,2701.37,3298.96,3305.354903,3635.890394,25291.04,1546.81,88.206,54.084,9.314,232.8,3.23,41.337,34.96,170.994,35.75,129.51,2477.8,260,33,9.9,24728.14401,8322.15,418.55,5909.48,3646.12,3483.39,2024.9,16.48,287.35401,6.69,613.03,10025.26,6467.44,0,4.27,788.13,2765.42,34753.40401
Soyabean,Maharashtra,32722.9,32722.9,36293.97,42220.35,40228.02,46154.4,46154.4,2507.76,2507.76,2774.18,3206.96,3062.45,3495.22,3495.22,3844.74,34818.2,732.96,74.9,85.89,1.45,375.29,53.52,55.48,35.01,214.33,32.23,97.52,2618.18,249,37,12.93,35940.8,12093.66,5219.92,6498.03,4155.84,3318,1748.98,183.92,149.4,103.62,969.89,10213.6,5926.38,0,27.32,688.83,3571.07,46154.4
Soyabean,Rajasthan,14767.84,14767.84,16500.85,22125.76,22441.8,28066.71,28066.71,1217.68,1217.68,1344.19,1781.79,1874.56,2312.15,2312.15,2543.365,31303.86,2438.85,114.734,21.404,0,216.26,1.65,35.769,32.523,0,34.05,251.78,2553.25,60,8,11.16,20294.32,7364.68,415.87,5827.54,4103.96,696.12,1442.59,0,0,8.62,434.94,7772.39,5624.91,0,6.89,407.58,1733.01,28066.71
Sunflower,Karnataka,17136.97,17136.97,18957.57,24955.18,22538.03,28535.64,31283.76,2081.9,2081.9,2290.62,3112.73,2709.07,3531.18,3872.56,4259.82,24852.35,1215.62,8.64,57.49,0.22,310.24,27.9,241.83,35.07,472.5,29.14,120.44,3275.68,22,8,7.69,20537.41,9041,3360.05,3079.21,2088.87,2121.17,169.57,103.98,0,59.72,513.84,7998.23,5997.6,0,5.92,174.11,1820.6,28535.64
Urad,Andhra Pradesh,21063.44,21133.52,22128.92,32555.79,24421.09,34847.96,35218.6321,2668.8,2675.9,2871.78,4114.04,3343.36,4585.62,4631.434982,5094.57848,34596.24,203.04,43.03,9.244,1.092,174.23,3.05,54.067,37.442,99.999,59.14,131.37,4084.85,57,12,7.54,23203.80264,10304.4,401.25,2236.02,2326.51,455.28,2256.67,196.17,0,99.62,633.67,11644.16,10356.79,70.07,0,151.81,1065.49,34847.96264
Urad,Chhatisgarh,18095.62,18095.62,19343.17,22587.61,29183.96,32428.4,33578.7725,5985.82,5985.82,6661.88,7416.95,9969.13,10724.20,11123.68985,12236.05883,12210.06,767.68,27.417,38.836,0,461.01,74.91,63.802,33.699,0,26.75,136,3034.88,15,4,2.83,27510.45,12334.17,10187.91,1040.62,1749.27,1308.72,354.33,0,0,0,535.43,4917.95,3244.43,0,1.5,424.46,1247.56,32428.4
Urad,Gujarat,18387.69,20676.27,19606.42,26953.12,26534.39,33881.1,33900.26,2405.77,2745.88,2554.4,3470.51,3353.88,4269.99,4272.53,4699.79,29475.46,3257.44,13.65,58.34,3.76,404.58,6.84,111.08,26.37,159.87,31.39,154.22,3972.54,55,15,7.18,25079.63,12700.84,1054.59,5675.8,1516.61,2138.82,1091.32,331.52,0,0,550.03,8801.47,5058.13,2288.57,4.27,231.78,1218.72,33881.1
