State/Crop/District,Year,Season,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare)
Andhra Pradesh,,,,,
Arhar/Tur,,,,,
 1.ADILABAD, 1997-98,Kharif     ,32200,1100,0.03
, 1998-99,Kharif     ,35900,12700,0.35
, 2000-01,Kharif     ,38996,9437,0.24
, 2001-02,Kharif     ,38438,18027,0.47
, 2002-03,Kharif     ,40771,9989,0.25
, 2003-04,Kharif     ,38393,13284,0.35
, 2004-05,Kharif     ,36468,15499,0.43
, 2005-06,Kharif     ,35993,23359,0.65
, 2006-07,Kharif     ,31414,21833,0.70
, 2007-08,Kharif     ,38000,30000,0.79
, 2008-09,Kharif     ,39533,18660,0.47
, 2009-10,Kharif     ,44943,25303,0.56
, 2010-11,Kharif     ,47884,26193,0.55
, 2011-12,Kharif     ,38832,23260,0.60
, 2012-13,Kharif     ,41000,27000,0.66
 2.ANANTAPUR, 1997-98,Kharif     ,21400,2600,0.12
, 1998-99,Kharif     ,27400,9100,0.33
, 2000-01,Kharif     ,30693,7888,0.26
, 2001-02,Kharif     ,27942,7628,0.27
, 2002-03,Kharif     ,33454,6557,0.20
, 2003-04,Kharif     ,41178,6959,0.17
, 2004-05,Kharif     ,32752,7893,0.24
, 2005-06,Kharif     ,35013,23704,0.68
, 2006-07,Kharif     ,26244,3543,0.14
, 2007-08,Kharif     ,37000,17000,0.46
, 2008-09,Kharif     ,34067,13150,0.39
, 2009-10,Kharif     ,20269,5919,0.29
, 2010-11,Kharif     ,66013,11156,0.17
, 2011-12,Kharif     ,51728,4293,0.08
, 2012-13,Kharif     ,56000,8000,0.14
, 2013-14,Kharif     ,49932,9287,0.19
, 2014-15,Kharif     ,37562,4845,0.13
, 2015-16,Kharif     ,38511,8318,0.22
, 2016-17,Kharif     ,70260,6956,0.10
, 2017-18,Kharif     ,72813,14126,0.19
, 2018-19,Kharif     ,48972,2791,0.06
 3.CHITTOOR, 1997-98,Kharif     ,6100,900,0.15
, 1998-99,Kharif     ,6100,1000,0.16
, 2000-01,Kharif     ,6032,2172,0.36
, 2001-02,Kharif     ,5403,924,0.17
, 2002-03,Kharif     ,4113,440,0.11
, 2003-04,Kharif     ,8476,636,0.08
, 2004-05,Kharif     ,8225,1390,0.17
, 2005-06,Kharif     ,7752,1869,0.24
, 2006-07,Kharif     ,5496,1533,0.28
, 2007-08,Kharif     ,7000,1000,0.14
, 2008-09,Kharif     ,7173,2554,0.36
, 2009-10,Kharif     ,6406,1377,0.21
, 2010-11,Kharif     ,10943,1182,0.11
, 2011-12,Kharif     ,8019,1203,0.15
, 2012-13,Kharif     ,8000,1000,0.13
, 2013-14,Kharif     ,7601,1923,0.25
, 2014-15,Kharif     ,6840,1669,0.24
, 2015-16,Kharif     ,6782,1987,0.29
, 2016-17,Kharif     ,9019,1019,0.11
, 2017-18,Kharif     ,8014,2036,0.25
, 2018-19,Kharif     ,6990,1132,0.16
 4.EAST GODAVARI, 1997-98,Kharif     ,1600,300,0.19
, 1998-99,Kharif     ,2100,300,0.14
, 2000-01,Kharif     ,1861,953,0.51
, 2001-02,Kharif     ,1309,763,0.58
, 2002-03,Kharif     ,763,267,0.35
, 2003-04,Kharif     ,1274,539,0.42
, 2004-05,Kharif     ,863,571,0.66
, 2005-06,Kharif     ,1008,611,0.61
, 2006-07,Kharif     ,917,441,0.48
, 2007-08,Kharif     ,1000,1000,1.00
, 2008-09,Kharif     ,721,344,0.48
, 2009-10,Kharif     ,707,468,0.66
, 2010-11,Kharif     ,689,349,0.51
, 2011-12,Kharif     ,295,156,0.53
, 2013-14,Kharif     ,465,447,0.96
, 2014-15,Kharif     ,2164,1807,0.84
, 2015-16,Kharif     ,2871,1200,0.42
, 2016-17,Kharif     ,2555,779,0.30
, 2017-18,Kharif     ,2240,856,0.38
, 2018-19,Kharif     ,1406,297,0.21
 5.GUNTUR, 1997-98,Kharif     ,28400,14900,0.52
, 1998-99,Kharif     ,27100,20700,0.76
, 2000-01,Kharif     ,42388,16786,0.40
, 2001-02,Kharif     ,39203,29873,0.76
, 2002-03,Kharif     ,37456,19290,0.52
, 2003-04,Kharif     ,34020,17758,0.52
, 2004-05,Kharif     ,31557,30295,0.96
, 2005-06,Kharif     ,35956,31461,0.87
, 2006-07,Kharif     ,27430,20188,0.74
, 2007-08,Kharif     ,21000,19000,0.90
, 2008-09,Kharif     ,18935,21832,1.15
, 2009-10,Kharif     ,31140,28680,0.92
, 2010-11,Kharif     ,24084,27239,1.13
, 2011-12,Kharif     ,16678,16745,1.00
, 2012-13,Kharif     ,15000,20000,1.33
, 2013-14,Kharif     ,13579,17096,1.26
, 2014-15,Kharif     ,8861,13805,1.56
, 2015-16,Kharif     ,20269,24444,1.21
, 2016-17,Kharif     ,30910,30941,1.00
, 2017-18,Kharif     ,26298,29480,1.12
, 2018-19,Kharif     ,18948,12790,0.68
 6.KADAPA, 1997-98,Kharif     ,5700,1400,0.25
, 1998-99,Kharif     ,7600,4400,0.58
, 2000-01,Kharif     ,15189,8369,0.55
, 2001-02,Kharif     ,12059,7139,0.59
, 2002-03,Kharif     ,15983,2605,0.16
, 2003-04,Kharif     ,29594,8997,0.30
, 2004-05,Kharif     ,18424,4809,0.26
, 2005-06,Kharif     ,16390,4377,0.27
, 2006-07,Kharif     ,9313,1527,0.16
, 2007-08,Kharif     ,14000,4000,0.29
, 2008-09,Kharif     ,10488,839,0.08
, 2009-10,Kharif     ,12353,2088,0.17
, 2010-11,Kharif     ,19759,5691,0.29
, 2011-12,Kharif     ,8998,2250,0.25
, 2012-13,Kharif     ,10000,1000,0.10
, 2013-14,Kharif     ,8085,2442,0.30
, 2014-15,Kharif     ,2367,360,0.15
, 2015-16,Kharif     ,7709,3084,0.40
, 2016-17,Kharif     ,17885,3488,0.20
, 2017-18,Kharif     ,8848,2672,0.30
, 2018-19,Kharif     ,4178,602,0.14
 7.KARIMNAGAR, 1997-98,Kharif     ,3100,400,0.13
, 1998-99,Kharif     ,5400,2000,0.37
, 2000-01,Kharif     ,5991,2145,0.36
, 2001-02,Kharif     ,4999,2649,0.53
, 2002-03,Kharif     ,6620,1629,0.25
, 2003-04,Kharif     ,11352,4813,0.42
, 2004-05,Kharif     ,9833,2212,0.22
, 2005-06,Kharif     ,16818,11436,0.68
, 2006-07,Kharif     ,11789,5187,0.44
, 2007-08,Kharif     ,10000,7000,0.70
, 2008-09,Kharif     ,6542,3873,0.59
, 2009-10,Kharif     ,6016,4416,0.73
, 2010-11,Kharif     ,9384,3388,0.36
, 2011-12,Kharif     ,9569,4383,0.46
, 2012-13,Kharif     ,7000,5000,0.71
 8.KHAMMAM, 1997-98,Kharif     ,25400,8400,0.33
, 1998-99,Kharif     ,23200,11600,0.50
, 2000-01,Kharif     ,25490,13867,0.54
, 2001-02,Kharif     ,21010,9980,0.48
, 2002-03,Kharif     ,24448,10195,0.42
, 2003-04,Kharif     ,29176,15405,0.53
, 2004-05,Kharif     ,26863,15258,0.57
, 2005-06,Kharif     ,26742,16500,0.62
, 2006-07,Kharif     ,22343,12177,0.55
, 2007-08,Kharif     ,19000,11000,0.58
, 2008-09,Kharif     ,14055,8377,0.60
, 2009-10,Kharif     ,10526,5031,0.48
, 2010-11,Kharif     ,13606,5061,0.37
, 2011-12,Kharif     ,5591,2119,0.38
, 2012-13,Kharif     ,4000,1000,0.25
 9.KRISHNA, 1997-98,Kharif     ,10700,3400,0.32
, 1998-99,Kharif     ,8800,5000,0.57
, 2000-01,Kharif     ,9762,6316,0.65
, 2001-02,Kharif     ,7714,4922,0.64
, 2002-03,Kharif     ,7425,3438,0.46
, 2003-04,Kharif     ,9632,6357,0.66
, 2004-05,Kharif     ,8614,4789,0.56
, 2005-06,Kharif     ,7158,3143,0.44
, 2006-07,Kharif     ,6389,3750,0.59
, 2007-08,Kharif     ,4000,3000,0.75
, 2008-09,Kharif     ,3461,2108,0.61
, 2009-10,Kharif     ,3073,2222,0.72
, 2010-11,Kharif     ,4012,1809,0.45
, 2011-12,Kharif     ,3133,1889,0.60
, 2012-13,Kharif     ,2000,1000,0.50
, 2013-14,Kharif     ,978,577,0.59
, 2014-15,Kharif     ,607,403,0.66
, 2015-16,Kharif     ,1114,761,0.68
, 2016-17,Kharif     ,2125,2125,1.00
, 2017-18,Kharif     ,2277,3097,1.36
, 2018-19,Kharif     ,1972,1615,0.82
 10.KURNOOL, 1997-98,Kharif     ,20900,6400,0.31
, 1998-99,Kharif     ,26400,10000,0.38
, 2000-01,Kharif     ,38108,16996,0.45
, 2001-02,Kharif     ,26743,10216,0.38
, 2002-03,Kharif     ,31397,13187,0.42
, 2003-04,Kharif     ,33380,13552,0.41
, 2004-05,Kharif     ,33205,14643,0.44
, 2005-06,Kharif     ,35437,25869,0.73
, 2006-07,Kharif     ,32801,9742,0.30
, 2007-08,Kharif     ,34000,22000,0.65
, 2008-09,Kharif     ,30259,10470,0.35
, 2009-10,Kharif     ,30703,15720,0.51
, 2010-11,Kharif     ,68092,29075,0.43
, 2011-12,Kharif     ,48261,12789,0.26
, 2012-13,Kharif     ,50000,25000,0.50
, 2013-14,Kharif     ,42964,17959,0.42
, 2014-15,Kharif     ,43233,18460,0.43
, 2015-16,Kharif     ,56949,20160,0.35
, 2016-17,Kharif     ,111296,39287,0.35
, 2017-18,Kharif     ,64482,28372,0.44
, 2018-19,Kharif     ,67342,11718,0.17
 11.MAHBUBNAGAR, 1997-98,Kharif     ,36200,6100,0.17
, 1998-99,Kharif     ,49400,12000,0.24
, 2000-01,Kharif     ,65889,28530,0.43
, 2001-02,Kharif     ,57586,16297,0.28
, 2002-03,Kharif     ,58008,24073,0.41
, 2003-04,Kharif     ,60205,24022,0.40
, 2004-05,Kharif     ,52383,19329,0.37
, 2005-06,Kharif     ,61398,45435,0.74
, 2006-07,Kharif     ,66732,13880,0.21
, 2007-08,Kharif     ,69000,49000,0.71
, 2008-09,Kharif     ,79972,23032,0.29
, 2009-10,Kharif     ,92155,20182,0.22
, 2010-11,Kharif     ,124059,50492,0.41
, 2011-12,Kharif     ,121184,20844,0.17
, 2012-13,Kharif     ,115000,61000,0.53
 12.MEDAK, 1997-98,Kharif     ,10700,100,0.01
, 1998-99,Kharif     ,18000,6300,0.35
, 2000-01,Kharif     ,21180,6756,0.32
, 2001-02,Kharif     ,19399,9971,0.51
, 2002-03,Kharif     ,18894,6122,0.32
, 2003-04,Kharif     ,24559,12746,0.52
, 2004-05,Kharif     ,23372,10728,0.46
, 2005-06,Kharif     ,24042,6131,0.26
, 2006-07,Kharif     ,23958,8218,0.34
, 2007-08,Kharif     ,24000,12000,0.50
, 2008-09,Kharif     ,24584,14431,0.59
, 2009-10,Kharif     ,25186,6372,0.25
, 2010-11,Kharif     ,29766,20836,0.70
, 2011-12,Kharif     ,31168,11875,0.38
, 2012-13,Kharif     ,29000,20000,0.69
 13.NALGONDA, 1997-98,Kharif     ,26100,2800,0.11
, 1998-99,Kharif     ,26400,11900,0.45
, 2000-01,Kharif     ,29954,9226,0.31
, 2001-02,Kharif     ,23250,6092,0.26
, 2002-03,Kharif     ,24912,5281,0.21
, 2003-04,Kharif     ,37021,18844,0.51
, 2004-05,Kharif     ,36838,13188,0.36
, 2005-06,Kharif     ,36058,20697,0.57
, 2006-07,Kharif     ,31140,9965,0.32
, 2007-08,Kharif     ,38000,18000,0.47
, 2008-09,Kharif     ,40916,19312,0.47
, 2009-10,Kharif     ,36804,15568,0.42
, 2010-11,Kharif     ,46939,21639,0.46
, 2011-12,Kharif     ,34830,6722,0.19
, 2012-13,Kharif     ,29000,14000,0.48
 14.NIZAMABAD, 1997-98,Kharif     ,1900,200,0.11
, 1998-99,Kharif     ,2200,800,0.36
, 2000-01,Kharif     ,2172,778,0.36
, 2001-02,Kharif     ,2615,565,0.22
, 2002-03,Kharif     ,2004,749,0.37
, 2003-04,Kharif     ,2420,813,0.34
, 2004-05,Kharif     ,3216,1386,0.43
, 2005-06,Kharif     ,4417,1687,0.38
, 2006-07,Kharif     ,3333,1173,0.35
, 2007-08,Kharif     ,3000,2000,0.67
, 2008-09,Kharif     ,3339,4568,1.37
, 2009-10,Kharif     ,3206,2998,0.94
, 2010-11,Kharif     ,5704,5807,1.02
, 2011-12,Kharif     ,3946,3662,0.93
, 2012-13,Kharif     ,3000,3000,1.00
 15.PRAKASAM, 1997-98,Kharif     ,34700,2200,0.06
, 1998-99,Kharif     ,46900,29900,0.64
, 2000-01,Kharif     ,95553,60198,0.63
, 2001-02,Kharif     ,60581,29139,0.48
, 2002-03,Kharif     ,54781,12271,0.22
, 2003-04,Kharif     ,78397,27125,0.35
, 2004-05,Kharif     ,80029,45456,0.57
, 2005-06,Kharif     ,81126,42024,0.52
, 2006-07,Kharif     ,34603,9377,0.27
, 2007-08,Kharif     ,82000,64000,0.78
, 2008-09,Kharif     ,68331,19884,0.29
, 2009-10,Kharif     ,49762,24981,0.50
, 2010-11,Kharif     ,87971,30174,0.34
, 2011-12,Kharif     ,38173,12444,0.33
, 2012-13,Kharif     ,57000,38000,0.67
, 2013-14,Kharif     ,53584,48922,0.91
, 2014-15,Kharif     ,43123,30962,0.72
, 2015-16,Kharif     ,76569,66156,0.86
, 2016-17,Kharif     ,92838,41034,0.44
, 2017-18,Kharif     ,85884,33409,0.39
, 2018-19,Kharif     ,93144,12388,0.13
 16.RANGAREDDI, 1997-98,Kharif     ,28900,1100,0.04
, 1998-99,Kharif     ,35600,15400,0.43
, 2000-01,Kharif     ,35400,12178,0.34
, 2001-02,Kharif     ,33183,14567,0.44
, 2002-03,Kharif     ,32736,19151,0.59
, 2003-04,Kharif     ,35790,26306,0.74
, 2004-05,Kharif     ,35579,15477,0.44
, 2005-06,Kharif     ,36260,25998,0.72
, 2006-07,Kharif     ,33213,24611,0.74
, 2007-08,Kharif     ,32000,28000,0.88
, 2008-09,Kharif     ,33289,20639,0.62
, 2009-10,Kharif     ,33938,14220,0.42
, 2010-11,Kharif     ,41866,11136,0.27
, 2011-12,Kharif     ,39408,11192,0.28
, 2012-13,Kharif     ,39000,16000,0.41
 17.SPSR NELLORE, 1997-98,Kharif     ,200,100,0.50
, 1998-99,Kharif     ,600,400,0.67
, 2000-01,Kharif     ,2063,1143,0.55
, 2001-02,Kharif     ,643,375,0.58
, 2002-03,Kharif     ,402,141,0.35
, 2003-04,Kharif     ,2628,1112,0.42
, 2004-05,Kharif     ,975,645,0.66
, 2005-06,Kharif     ,1967,1192,0.61
, 2006-07,Kharif     ,363,175,0.48
, 2007-08,Kharif     ,1000,1000,1.00
, 2008-09,Kharif     ,712,340,0.48
, 2009-10,Kharif     ,1846,1222,0.66
, 2010-11,Kharif     ,3110,1574,0.51
, 2011-12,Kharif     ,578,306,0.53
, 2012-13,Kharif     ,1000,1000,1.00
, 2013-14,Kharif     ,1119,1075,0.96
, 2014-15,Kharif     ,457,382,0.84
, 2015-16,Kharif     ,737,734,1.00
, 2016-17,Kharif     ,1753,1050,0.60
, 2017-18,Kharif     ,1192,756,0.63
, 2018-19,Kharif     ,50,26,0.52
 18.SRIKAKULAM, 1997-98,Kharif     ,1600,400,0.25
, 1998-99,Kharif     ,1800,1100,0.61
, 2000-01,Kharif     ,1758,974,0.55
, 2001-02,Kharif     ,1395,813,0.58
, 2002-03,Kharif     ,1523,533,0.35
, 2003-04,Kharif     ,1573,665,0.42
, 2004-05,Kharif     ,1432,948,0.66
, 2005-06,Kharif     ,1439,872,0.61
, 2006-07,Kharif     ,1640,789,0.48
, 2007-08,Kharif     ,2000,1000,0.50
, 2008-09,Kharif     ,1334,636,0.48
, 2009-10,Kharif     ,1084,718,0.66
, 2010-11,Kharif     ,1645,832,0.51
, 2011-12,Kharif     ,1185,628,0.53
, 2012-13,Kharif     ,1000,1000,1.00
, 2013-14,Kharif     ,706,678,0.96
, 2014-15,Kharif     ,646,539,0.83
, 2015-16,Kharif     ,634,144,0.23
, 2016-17,Kharif     ,657,311,0.47
, 2017-18,Kharif     ,610,343,0.56
, 2018-19,Kharif     ,692,190,0.27
 19.VISAKHAPATANAM, 1997-98,Kharif     ,4800,800,0.17
, 1998-99,Kharif     ,5400,1700,0.31
, 2000-01,Kharif     ,6121,2032,0.33
, 2001-02,Kharif     ,4847,1507,0.31
, 2002-03,Kharif     ,4701,1575,0.34
, 2003-04,Kharif     ,4274,2188,0.51
, 2004-05,Kharif     ,4745,2216,0.47
, 2005-06,Kharif     ,3849,1124,0.29
, 2006-07,Kharif     ,3736,1375,0.37
, 2007-08,Kharif     ,3000,2000,0.67
, 2008-09,Kharif     ,2874,868,0.30
, 2009-10,Kharif     ,2023,1101,0.54
, 2010-11,Kharif     ,3717,1412,0.38
, 2011-12,Kharif     ,2719,1088,0.40
, 2012-13,Kharif     ,2000,1000,0.50
, 2013-14,Kharif     ,1806,619,0.34
, 2014-15,Kharif     ,1965,364,0.19
, 2015-16,Kharif     ,1584,413,0.26
, 2016-17,Kharif     ,1783,854,0.48
, 2017-18,Kharif     ,1566,752,0.48
, 2018-19,Kharif     ,1189,443,0.37
 20.VIZIANAGARAM, 1997-98,Kharif     ,1600,400,0.25
, 1998-99,Kharif     ,1500,900,0.60
, 2000-01,Kharif     ,1304,722,0.55
, 2001-02,Kharif     ,1313,765,0.58
, 2002-03,Kharif     ,1587,555,0.35
, 2003-04,Kharif     ,1871,791,0.42
, 2004-05,Kharif     ,1853,1227,0.66
, 2005-06,Kharif     ,1507,913,0.61
, 2006-07,Kharif     ,1482,713,0.48
, 2007-08,Kharif     ,2000,1000,0.50
, 2008-09,Kharif     ,1878,896,0.48
, 2009-10,Kharif     ,1894,1254,0.66
, 2010-11,Kharif     ,2460,1245,0.51
, 2011-12,Kharif     ,1401,743,0.53
, 2012-13,Kharif     ,2000,1000,0.50
, 2013-14,Kharif     ,1880,1807,0.96
, 2014-15,Kharif     ,1065,889,0.83
, 2015-16,Kharif     ,983,701,0.71
, 2016-17,Kharif     ,1346,1050,0.78
, 2017-18,Kharif     ,1003,716,0.71
, 2018-19,Kharif     ,692,197,0.28
 21.WARANGAL, 1997-98,Kharif     ,11200,1500,0.13
, 1998-99,Kharif     ,32800,11700,0.36
, 2000-01,Kharif     ,31026,8749,0.28
, 2001-02,Kharif     ,24587,13302,0.54
, 2002-03,Kharif     ,21213,9227,0.43
, 2003-04,Kharif     ,27449,11501,0.42
, 2004-05,Kharif     ,24273,7039,0.29
, 2005-06,Kharif     ,23784,11987,0.50
, 2006-07,Kharif     ,21039,7343,0.35
, 2007-08,Kharif     ,22000,9000,0.41
, 2008-09,Kharif     ,16526,12477,0.75
, 2009-10,Kharif     ,23464,9245,0.39
, 2010-11,Kharif     ,17943,4827,0.27
, 2011-12,Kharif     ,12820,6013,0.47
, 2012-13,Kharif     ,9000,6000,0.67
 22.WEST GODAVARI, 1997-98,Kharif     ,500,100,0.20
, 1998-99,Kharif     ,200,200,1.00
, 2000-01,Kharif     ,436,242,0.56
, 2001-02,Kharif     ,182,106,0.58
, 2002-03,Kharif     ,245,86,0.35
, 2003-04,Kharif     ,577,244,0.42
, 2004-05,Kharif     ,326,216,0.66
, 2005-06,Kharif     ,409,247,0.60
, 2006-07,Kharif     ,269,129,0.48
, 2008-09,Kharif     ,259,124,0.48
, 2009-10,Kharif     ,894,592,0.66
, 2010-11,Kharif     ,334,169,0.51
, 2011-12,Kharif     ,141,75,0.53
, 2013-14,Kharif     ,127,122,0.96
, 2014-15,Kharif     ,90,75,0.83
, 2015-16,Kharif     ,611,552,0.90
, 2016-17,Kharif     ,456,266,0.58
, 2017-18,Kharif     ,140,80,0.57
, 2018-19,Kharif     ,100,24,0.24
Total - Arhar/Tur,,,8265465.00,3606606,0.44
Bajra,,,,,
 1.ANANTAPUR, 1997-98,Kharif     ,1400,500,0.36
, 1998-99,Kharif     ,2600,1900,0.73
, 1999-00,Kharif     ,1635,889,0.54
, 2000-01,Kharif     ,2477,1449,0.58
, 2001-02,Kharif     ,1595,526,0.33
, 2002-03,Kharif     ,1925,581,0.30
, 2003-04,Kharif     ,2280,378,0.17
, 2004-05,Kharif     ,1021,403,0.39
, 2005-06,Kharif     ,993,1888,1.90
, 2006-07,Kharif     ,620,189,0.30
, 2007-08,Kharif     ,1000,3000,3.00
, 2008-09,Kharif     ,743,1011,1.36
, 2009-10,Kharif     ,1722,3167,1.84
, 2010-11,Kharif     ,2010,1465,0.73
, 2011-12,Kharif     ,2614,3307,1.27
, 2012-13,Kharif     ,2000,1000,0.50
, 2013-14,Kharif     ,1332,1227,0.92
, 2014-15,Kharif     ,1752,1028,0.59
, 2015-16,Kharif     ,3226,3326,1.03
, 2016-17,Kharif     ,2467,1258,0.51
, 2017-18,Kharif     ,5261,7034,1.34
, 2018-19,Kharif     ,2979,3447,1.16
 2.CHITTOOR, 1997-98,Kharif     ,1700,1900,1.12
, 1998-99,Kharif     ,1700,3400,2.00
, 1999-00,Kharif     ,2531,2817,1.11
, 2000-01,Kharif     ,3771,4936,1.31
, 2001-02,Kharif     ,2934,3556,1.21
, 2002-03,Kharif     ,2366,1171,0.49
, 2003-04,Kharif     ,2166,3611,1.67
, 2004-05,Kharif     ,2684,3521,1.31
, 2005-06,Kharif     ,1860,2217,1.19
, 2006-07,Kharif     ,1456,942,0.65
, 2007-08,Kharif     ,2000,3000,1.50
, 2008-09,Kharif     ,1714,3286,1.92
, 2009-10,Kharif     ,2859,3336,1.17
, 2010-11,Kharif     ,3081,5882,1.91
, 2011-12,Kharif     ,2353,4958,2.11
, 2012-13,Kharif     ,2000,4000,2.00
, 2013-14,Kharif     ,1789,3907,2.18
, 2014-15,Kharif     ,2071,4622,2.23
, 2015-16,Kharif     ,2374,6669,2.81
, 2016-17,Kharif     ,2242,6188,2.76
, 2017-18,Kharif     ,2104,4810,2.29
, 2018-19,Kharif     ,1830,3958,2.16
 3.EAST GODAVARI, 1997-98,Kharif     ,2500,1400,0.56
, 1998-99,Kharif     ,4300,2400,0.56
, 1999-00,Kharif     ,3248,2339,0.72
, 2000-01,Kharif     ,3034,2005,0.66
, 2001-02,Kharif     ,2219,2048,0.92
, 2002-03,Kharif     ,1196,1051,0.88
, 2003-04,Kharif     ,2698,2301,0.85
, 2004-05,Kharif     ,1840,1404,0.76
, 2005-06,Kharif     ,1500,1037,0.69
, 2006-07,Kharif     ,1516,713,0.47
, 2007-08,Kharif     ,1000,1000,1.00
, 2008-09,Kharif     ,823,546,0.66
, 2009-10,Kharif     ,375,287,0.77
, 2010-11,Kharif     ,159,83,0.52
, 2011-12,Kharif     ,94,78,0.83
, 2013-14,Kharif     ,66,78,1.18
, 2014-15,Kharif     ,58,75,1.29
, 2015-16,Kharif     ,65,62,0.95
, 2016-17,Kharif     ,78,86,1.10
, 2017-18,Kharif     ,61,68,1.11
, 2018-19,Kharif     ,90,93,1.03
 4.GUNTUR, 1997-98,Kharif     ,100,100,1.00
, 1998-99,Kharif     ,100,100,1.00
, 1999-00,Kharif     ,142,159,1.12
, 2000-01,Kharif     ,406,550,1.35
, 2001-02,Kharif     ,77,76,0.99
, 2002-03,Kharif     ,419,356,0.85
, 2003-04,Kharif     ,16082,21839,1.36
, 2004-05,Kharif     ,5824,1584,0.27
, 2005-06,Kharif     ,796,464,0.58
, 2009-10,Kharif     ,315,557,1.77
, 2010-11,Kharif     ,1065,1984,1.86
, 2011-12,Kharif     ,12,21,1.75
, 2012-13,Kharif     ,2000,4000,2.00
, 2013-14,Kharif     ,3323,5812,1.75
, 2014-15,Kharif     ,689,758,1.10
, 2015-16,Kharif     ,1556,3179,2.04
, 2016-17,Kharif     ,2219,1267,0.57
, 2017-18,Kharif     ,1273,1192,0.94
, 2018-19,Kharif     ,67,95,1.42
 5.KADAPA, 1997-98,Kharif     ,2000,2400,1.20
, 1998-99,Kharif     ,3000,6000,2.00
, 1999-00,Kharif     ,3478,3537,1.02
, 2000-01,Kharif     ,7329,10385,1.42
, 2001-02,Kharif     ,1395,2514,1.80
, 2002-03,Kharif     ,2866,2814,0.98
, 2003-04,Kharif     ,4332,3829,0.88
, 2004-05,Kharif     ,3709,5512,1.49
, 2005-06,Kharif     ,3327,3553,1.07
, 2006-07,Kharif     ,2010,2945,1.47
, 2007-08,Kharif     ,2000,5000,2.50
, 2008-09,Kharif     ,1170,3170,2.71
, 2009-10,Kharif     ,2182,5678,2.60
, 2010-11,Kharif     ,2870,7178,2.50
, 2011-12,Kharif     ,2209,5728,2.59
, 2012-13,Kharif     ,2000,3000,1.50
, 2013-14,Kharif     ,2833,5476,1.93
, 2014-15,Kharif     ,1173,3010,2.57
, 2015-16,Kharif     ,2340,3749,1.60
, 2016-17,Kharif     ,3610,4220,1.17
, 2017-18,Kharif     ,5842,12181,2.09
, 2018-19,Kharif     ,845,1208,1.43
 6.KHAMMAM, 1997-98,Kharif     ,500,200,0.40
, 1998-99,Kharif     ,600,300,0.50
, 1999-00,Kharif     ,420,246,0.59
, 2000-01,Kharif     ,221,133,0.60
, 2001-02,Kharif     ,124,58,0.47
, 2002-03,Kharif     ,292,138,0.47
, 2003-04,Kharif     ,675,412,0.61
, 2004-05,Kharif     ,202,64,0.32
, 2005-06,Kharif     ,261,165,0.63
, 2006-07,Kharif     ,35,12,0.34
, 2008-09,Kharif     ,33,21,0.64
, 2009-10,Kharif     ,4,2,0.50
, 2010-11,Kharif     ,6,4,0.67
, 2011-12,Kharif     ,4,3,0.75
 7.KRISHNA, 2000-01,Kharif     ,1,1,1.00
, 2003-04,Kharif     ,10,14,1.40
, 2009-10,Kharif     ,1,2,2.00
 8.KURNOOL, 1997-98,Kharif     ,11600,9300,0.80
, 1998-99,Kharif     ,17700,16200,0.92
, 1999-00,Kharif     ,15261,9187,0.60
, 2000-01,Kharif     ,18718,15199,0.81
, 2001-02,Kharif     ,13932,11062,0.79
, 2002-03,Kharif     ,10352,6863,0.66
, 2003-04,Kharif     ,14793,17707,1.20
, 2004-05,Kharif     ,10376,9598,0.93
, 2005-06,Kharif     ,10949,13391,1.22
, 2006-07,Kharif     ,8784,7993,0.91
, 2007-08,Kharif     ,10000,11000,1.10
, 2008-09,Kharif     ,7864,8540,1.09
, 2009-10,Kharif     ,6259,4519,0.72
, 2010-11,Kharif     ,7195,10692,1.49
, 2011-12,Kharif     ,5174,2427,0.47
, 2012-13,Kharif     ,12000,15000,1.25
, 2013-14,Kharif     ,7614,8642,1.14
, 2014-15,Kharif     ,5056,7083,1.40
, 2015-16,Kharif     ,9765,13251,1.36
, 2016-17,Kharif     ,8413,14479,1.72
, 2017-18,Kharif     ,7885,15305,1.94
, 2018-19,Kharif     ,6612,4827,0.73
 9.MAHBUBNAGAR, 1997-98,Kharif     ,9500,3500,0.37
, 1998-99,Kharif     ,14500,5500,0.38
, 1999-00,Kharif     ,16554,7946,0.48
, 2000-01,Kharif     ,17965,11013,0.61
, 2001-02,Kharif     ,17952,8617,0.48
, 2002-03,Kharif     ,11793,6498,0.55
, 2003-04,Kharif     ,11501,6671,0.58
, 2004-05,Kharif     ,8405,3925,0.47
, 2005-06,Kharif     ,8628,6807,0.79
, 2006-07,Kharif     ,6344,2417,0.38
, 2007-08,Kharif     ,6000,4000,0.67
, 2008-09,Kharif     ,10945,7246,0.66
, 2009-10,Kharif     ,4979,2206,0.44
, 2010-11,Kharif     ,3885,2863,0.74
, 2011-12,Kharif     ,2322,1275,0.55
, 2012-13,Kharif     ,3000,3000,1.00
 10.MEDAK, 1997-98,Kharif     ,1700,600,0.35
, 1998-99,Kharif     ,1700,800,0.47
, 1999-00,Kharif     ,1471,861,0.59
, 2000-01,Kharif     ,1077,646,0.60
, 2001-02,Kharif     ,870,406,0.47
, 2002-03,Kharif     ,588,279,0.47
, 2003-04,Kharif     ,665,406,0.61
, 2004-05,Kharif     ,338,107,0.32
, 2005-06,Kharif     ,613,389,0.63
