crop,state,district,year,season,area,production,yield
Bajra,Gujarat,KACHCHH, 2004-05,Summer     ,800.0,1800,2.25
Bajra,Gujarat,KACHCHH, 2003-04,Summer     ,1800.0,3700,2.06
Bajra,Gujarat,KACHCHH, 2002-03,Summer     ,2600.0,4300,1.65
Bajra,Gujarat,KACHCHH, 2001-02,Summer     ,2100.0,3700,1.76
Bajra,Gujarat,KACHCHH, 2000-01,Summer     ,1000.0,1900,1.90
Bajra,Gujarat,KACHCHH, 1999-00,Summer     ,1800.0,3800,2.11
Bajra,Gujarat,KACHCHH, 1998-99,Summer     ,800.0,1800,2.25
Bajra,Gujarat,JUNAGADH, 2018-19,Summer     ,1031.0,3088,3.00
Bajra,Gujarat,JUNAGADH, 2017-18,Summer     ,1530.0,4815,3.15
Bajra,Gujarat,JUNAGADH, 2016-17,Summer     ,2150.0,5369,2.50
Bajra,Gujarat,JUNAGADH, 2015-16,Summer     ,130.0,346,2.66
Bajra,Gujarat,JUNAGADH, 2014-15,Summer     ,1020.0,2676,2.62
Bajra,Gujarat,JUNAGADH, 2013-14,Summer     ,9235.0,25803,2.79
Bajra,Gujarat,JUNAGADH, 2012-13,Summer     ,1300.0,3400,2.62
Bajra,Gujarat,JUNAGADH, 2011-12,Summer     ,8200.0,22300,2.72
Bajra,Gujarat,JUNAGADH, 2010-11,Summer     ,8200.0,22000,2.68
Bajra,Gujarat,JUNAGADH, 2009-10,Summer     ,5200.0,12800,2.46
Bajra,Gujarat,JUNAGADH, 2008-09,Summer     ,3500.0,10300,2.94
Bajra,Gujarat,JUNAGADH, 2007-08,Summer     ,10000.0,22700,2.27
Bajra,Gujarat,JUNAGADH, 2006-07,Summer     ,7600.0,19600,2.58
Bajra,Gujarat,JUNAGADH, 2005-06,Summer     ,7300.0,16700,2.29
Bajra,Gujarat,MAHESANA, 2012-13,Summer     ,19000.0,52900,2.78
Bajra,Gujarat,MAHESANA, 2013-14,Summer     ,18572.0,49314,2.66
Bajra,Gujarat,MAHESANA, 2014-15,Summer     ,17185.0,44800,2.61
Bajra,Gujarat,MAHESANA, 2015-16,Summer     ,12179.0,31505,2.59
Bajra,Gujarat,PORBANDAR, 2012-13,Summer     ,100.0,300,3.00
Bajra,Gujarat,PORBANDAR, 2011-12,Summer     ,300.0,700,2.33
Bajra,Gujarat,PORBANDAR, 2010-11,Summer     ,300.0,700,2.33
Bajra,Gujarat,PORBANDAR, 2008-09,Summer     ,100.0,300,3.00
Bajra,Gujarat,PORBANDAR, 2007-08,Summer     ,700.0,1700,2.43
Bajra,Gujarat,PORBANDAR, 2006-07,Summer     ,700.0,1600,2.29
